row_id,Game Name,Discount,Price,Rating,Release Date
285,Hero of the Kingdom,-85%,"R$ 3,97",90.18%,Dec 2012
286,Freshly Frosted,-42%,"R$ 12,00",90.06%,Jun 2022
287,Hero of the Kingdom II,-85%,"R$ 4,49",90.05%,Feb 2015
288,Tom Clancy's Splinter Cell Chaos Theory®,-75%,"R$ 7,49",89.95%,Mar 2005
289,WHAT THE GOLF?,-66%,"R$ 12,91",89.92%,Oct 2020
290,Chillquarium,-25%,"R$ 15,36",89.75%,Sep 2023
291,Staffer Reborn,-26%,"R$ 7,76",89.74%,Apr 2024
292,Burger Shop 2,-50%,"R$ 7,24",89.62%,Jul 2009
293,Farewell North,-20%,"R$ 71,96",89.57%,Aug 2024
294,Crystalline,-75%,"R$ 14,99",89.55%,Aug 2018
295,Chinese Parents,-40%,"R$ 17,99",89.55%,Sep 2018
296,Season of 12 Colors,-50%,"R$ 5,24",89.50%,Mar 2016
297,A Tiny Sticker Tale,-28%,"R$ 23,75",89.47%,Oct 2023
298,Arma 3,-80%,"R$ 19,99",89.46%,Sep 2013
299,Under Leaves,-75%,"R$ 2,62",89.36%,Apr 2017
300,Monster Sanctuary,-75%,"R$ 34,99",89.28%,Dec 2020
301,Aground,-66%,"R$ 15,97",89.25%,Apr 2020
302,FIND ALL 2: Middle Ages,-26%,"R$ 5,17",89.23%,Mar 2022
303,Crossroad OS,-25%,"R$ 12,74",89.17%,Dec 2023
304,THE LONGING,-8%,"R$ 38,15",89.11%,Mar 2020
305,Fureraba ~Friend to Lover~,-50%,"R$ 44,49",89.10%,May 2018
306,Rampage Knights,-70%,"R$ 12,59",88.96%,Sep 2015
307,Workers & Resources: Soviet Republic,-50%,"R$ 49,99",88.95%,Jun 2024
308,Soulslayer～灭魂·误佳期～,-50%,"R$ 12,49",88.90%,Jul 2017
309,Ex-Zodiac,-25%,"R$ 15,51",88.88%,Jul 2022
310,Death of the Reprobate,-10%,"R$ 37,79",88.77%,Nov 2024
311,Tree Simulator 2020,-50%,"R$ 3,49",88.73%,Mar 2019
312,Uncover the Smoking Gun,-30%,"R$ 41,99",88.71%,Jun 2024
313,100 hidden turtles,-80%,"R$ 2,75",88.70%,Sep 2022
314,Broken Reality,-75%,"R$ 7,24",88.70%,Nov 2018
315,"Braid, Anniversary Edition",-70%,"R$ 17,99",88.70%,May 2024
316,Soulstone Survivors,-30%,"R$ 20,99",88.69%,Nov 2022
317,Regency Solitaire,-57%,"R$ 14,18",88.63%,May 2015
318,Hidden Cats in Berlin,-10%,"R$ 8,68",88.63%,Mar 2024
319,Grow Home,-75%,"R$ 5,99",88.58%,Feb 2015
320,Bone's Cafe,-50%,"R$ 23,49",88.58%,Oct 2022
321,Chicken Journey,-35%,"R$ 21,44",88.57%,Aug 2023
322,Midnight Ramen,-20%,"R$ 30,79",88.53%,Jul 2024
